customer_id,customer_name,city,orders,total_spend,last_order_days,first_order_date,last_order_date
C0030,Aditya Mehta,Mumbai,3,9272,18,2025-08-24,2026-08-31
C0031,Kavya Singh,Chennai,3,12491,25,2026-06-18,2026-08-24
C0032,Aarav Verma,Kochi,2,8400,129,2025-12-24,2026-05-12
C0033,Shreya Reddy,Delhi,2,14004,108,2025-12-09,2026-06-02
C0034,Aditi Verma,Jaipur,1,5810,26,2025-08-24,2026-08-23
C0035,Shreya Sharma,Jaipur,4,19400,9,2026-06-12,2026-09-09
C0036,Arjun Iyer,Jaipur,6,34819,7,2025-08-10,2026-09-11
C0037,Kavya Singh,Chennai,1,2857,29,2026-06-25,2026-08-20
C0038,Akash Rao,Kolkata,2,6116,103,2026-03-03,2026-06-07
C0039,Diya Kumar,Ahmedabad,1,4303,18,2026-07-28,2026-08-31
C0040,Arjun Patel,Delhi,1,3824,19,2025-10-22,2026-08-30
C0041,Aryan Gupta,Delhi,13,93915,15,2026-07-15,2026-09-03
C0042,Meera Singh,Hyderabad,1,3697,25,2025-10-12,2026-08-24
C0043,Pooja Mehta,Delhi,3,11324,83,2025-10-29,2026-06-27
C0044,Aarav Kumar,Pune,5,27951,92,2026-01-03,2026-06-18
C0045,Aditi Shah,Mumbai,2,12711,19,2026-04-20,2026-08-30
C0046,Riya Nair,Chennai,3,13304,64,2025-07-14,2026-07-16
C0047,Ananya Gupta,Pune,4,24146,12,2025-09-13,2026-09-06
C0048,Shreya Gupta,Jaipur,2,6889,21,2026-04-29,2026-08-28
C0049,Tanvi Reddy,Bengaluru,7,26327,24,2026-02-16,2026-08-25
C0050,Pooja Mehta,Jaipur,8,21228,9,2026-07-19,2026-09-09
C0051,Pooja Sharma,Jaipur,6,27975,86,2025-11-20,2026-06-24
C0052,Pooja Patel,Pune,1,1820,24,2026-02-23,2026-08-25
C0053,Shreya Reddy,Kolkata,3,14083,13,2026-04-30,2026-09-05
C0054,Pooja Rao,Kolkata,1,2225,20,2025-10-12,2026-08-29
C0055,Isha Gupta,Jaipur,4,15401,87,2025-10-16,2026-06-23
C0056,Tanvi Mehta,Pune,3,8501,37,2025-11-13,2026-08-12
C0057,Aditi Rao,Mumbai,8,25983,3,2026-04-18,2026-09-15
C0058,Isha Singh,Hyderabad,4,23023,16,2025-09-25,2026-09-02
C0059,Akash Verma,Kolkata,6,12371,150,2025-09-07,2026-04-21
C0060,Sahana Gupta,Hyderabad,4,18492,25,2025-12-20,2026-08-24
C0061,Anika Kumar,Jaipur,2,6988,34,2026-05-09,2026-08-15
C0062,Riya Rao,Jaipur,6,16397,117,2025-06-15,2026-05-24
C0063,Shreya Gupta,Jaipur,2,12777,33,2026-03-07,2026-08-16
C0064,Anika Das,Chennai,1,5070,16,2025-09-17,2026-09-02
C0065,Anika Reddy,Ahmedabad,12,50367,5,2026-02-24,2026-09-13
C0066,Kavya Bhat,Jaipur,5,22577,13,2025-08-16,2026-09-05
C0067,Aryan Iyer,Hyderabad,14,56684,9,2025-12-15,2026-09-09
C0068,Pooja Sharma,Hyderabad,5,25139,150,2026-03-12,2026-04-21
C0069,Tanvi Gupta,Ahmedabad,13,54569,13,2026-01-19,2026-09-05
C0070,Pooja Joshi,Jaipur,3,21998,89,2026-01-03,2026-06-21
C0071,Pooja Verma,Bengaluru,3,7704,34,2026-05-12,2026-08-15
C0072,Varsha Joshi,Bengaluru,6,24493,145,2026-03-14,2026-04-26
C0073,Akash Rao,Kolkata,7,20954,2,2026-04-06,2026-09-16
C0074,Neha Nair,Hyderabad,3,11211,22,2025-12-25,2026-08-27
C0075,Diya Das,Mumbai,2,10733,19,2025-09-02,2026-08-30
C0076,Akash Shah,Bengaluru,1,2825,7,2026-08-02,2026-09-11
C0077,Varsha Kumar,Hyderabad,4,33480,7,2025-12-17,2026-09-11
C0078,Diya Shah,Pune,8,18753,25,2026-05-03,2026-08-24
C0079,Isha Patel,Kochi,12,72735,11,2026-01-28,2026-09-07
C0080,Neha Iyer,Hyderabad,18,50915,2,2025-08-26,2026-09-16
C0081,Isha Das,Kochi,6,7345,105,2025-08-07,2026-06-05
C0082,Pooja Rao,Pune,18,57362,1,2026-01-15,2026-09-17
C0083,Sahana Patel,Kolkata,5,11013,116,2026-01-25,2026-05-25
C0084,Shreya Rao,Chennai,1,5208,25,2025-11-20,2026-08-24
C0085,Riya Gupta,Kochi,5,17839,9,2025-12-23,2026-09-09
C0086,Anika Shah,Ahmedabad,1,3904,11,2026-07-25,2026-09-07
C0087,Sahana Das,Pune,5,26626,26,2026-03-14,2026-08-23
C0088,Kavya Reddy,Kochi,1,3063,18,2026-07-27,2026-08-31
C0089,Shreya Singh,Mumbai,7,31009,18,2026-03-31,2026-08-31
C0090,Sahana Rao,Ahmedabad,2,6524,23,2026-04-05,2026-08-26
C0091,Neha Iyer,Hyderabad,3,12753,40,2025-10-12,2026-08-09
C0092,Meera Gupta,Jaipur,3,9438,24,2026-03-20,2026-08-25
C0093,Anika Patel,Hyderabad,2,8138,18,2025-11-27,2026-08-31
C0094,Diya Iyer,Kochi,6,25555,97,2026-03-24,2026-06-13
C0095,Ananya Reddy,Hyderabad,3,5231,39,2026-05-08,2026-08-10
C0096,Diya Sharma,Bengaluru,1,1834,21,2025-11-20,2026-08-28
C0097,Arjun Das,Bengaluru,1,4645,16,2025-12-21,2026-09-02
C0098,Kavya Kumar,Bengaluru,7,18738,27,2026-06-20,2026-08-22
C0099,Neha Verma,Mumbai,1,1239,5,2026-05-30,2026-09-13
C0100,Tanvi Reddy,Mumbai,2,24286,114,2025-06-21,2026-05-27
C0101,Varsha Shah,Kochi,8,27464,15,2025-12-21,2026-09-03
C0102,Isha Das,Kochi,4,24632,140,2026-03-02,2026-05-01
C0103,Varsha Iyer,Mumbai,3,26496,88,2026-01-08,2026-06-22
C0104,Akash Kumar,Hyderabad,4,20129,1,2026-01-21,2026-09-17
C0105,Riya Iyer,Kochi,2,8792,23,2025-07-31,2026-08-26
C0106,Isha Iyer,Ahmedabad,11,52337,13,2025-09-20,2026-09-05
C0107,Tanvi Rao,Hyderabad,2,15610,14,2026-03-22,2026-09-04
C0108,Aryan Patel,Bengaluru,6,34498,24,2025-10-08,2026-08-25
C0109,Isha Verma,Mumbai,3,11594,22,2025-11-14,2026-08-27
C0110,Sneha Verma,Ahmedabad,4,29156,24,2026-02-11,2026-08-25
C0111,Varsha Reddy,Bengaluru,8,34238,1,2025-09-08,2026-09-17
C0112,Diya Mehta,Bengaluru,1,2235,16,2025-11-11,2026-09-02
C0113,Riya Bhat,Chennai,8,29283,21,2025-11-20,2026-08-28
C0114,Akash Verma,Pune,3,15979,11,2026-05-18,2026-09-07
C0115,Kavya Gupta,Ahmedabad,7,33025,2,2025-12-28,2026-09-16
C0116,Akash Nair,Chennai,3,13431,5,2025-09-12,2026-09-13
C0117,Sneha Verma,Kolkata,16,58709,10,2025-11-27,2026-09-08
C0118,Riya Shah,Bengaluru,8,19293,30,2026-02-23,2026-08-19
C0119,Riya Bhat,Ahmedabad,8,22841,23,2026-05-07,2026-08-26
C0120,Isha Joshi,Bengaluru,1,1563,8,2026-06-14,2026-09-10
C0121,Riya Patel,Delhi,3,13337,22,2025-12-28,2026-08-27
C0122,Sahana Verma,Hyderabad,2,11284,17,2025-09-30,2026-09-01
C0123,Shreya Iyer,Delhi,4,19596,104,2025-08-21,2026-06-06
C0124,Diya Das,Bengaluru,6,34232,19,2025-08-28,2026-08-30
C0125,Sahana Das,Delhi,3,10654,26,2025-10-15,2026-08-23
C0126,Sneha Gupta,Ahmedabad,3,13825,134,2025-09-23,2026-05-07
C0127,Anika Das,Kolkata,15,81217,15,2026-01-21,2026-09-03
C0128,Neha Rao,Delhi,2,7068,37,2025-09-14,2026-08-12
C0129,Kavya Das,Mumbai,5,9267,128,2025-08-23,2026-05-13
C0130,Aarav Iyer,Delhi,2,6225,35,2026-03-02,2026-08-14
C0131,Kavya Mehta,Kolkata,1,3491,28,2025-08-11,2026-08-21
C0132,Sneha Gupta,Pune,1,4797,28,2025-10-18,2026-08-21
C0133,Aditya Mehta,Mumbai,6,22454,24,2026-06-10,2026-08-25
C0134,Pooja Patel,Mumbai,3,5474,7,2026-02-27,2026-09-11
C0135,Aditya Reddy,Pune,2,9000,38,2025-12-14,2026-08-11
C0136,Tanvi Rao,Delhi,4,34971,28,2026-01-08,2026-08-21
C0137,Varsha Rao,Hyderabad,2,8804,34,2025-08-24,2026-08-15
C0138,Diya Verma,Chennai,1,4611,29,2026-02-24,2026-08-20
C0139,Sneha Kumar,Mumbai,3,14626,24,2025-09-02,2026-08-25
C0140,Pooja Iyer,Chennai,3,8263,29,2025-11-16,2026-08-20
C0141,Arjun Singh,Kolkata,1,5508,10,2025-08-16,2026-09-08
C0142,Isha Sharma,Kolkata,8,16607,30,2025-09-13,2026-08-19
C0143,Sahana Das,Chennai,1,2685,20,2026-01-31,2026-08-29
C0144,Anika Rao,Hyderabad,1,1920,21,2026-06-10,2026-08-28
C0145,Aditya Reddy,Ahmedabad,13,82995,3,2026-07-01,2026-09-15
C0146,Isha Nair,Kolkata,5,32675,29,2026-01-15,2026-08-20
C0147,Shreya Joshi,Chennai,4,21789,98,2025-11-21,2026-06-12
C0148,Arjun Verma,Mumbai,5,28022,28,2025-10-10,2026-08-21
C0149,Meera Patel,Kolkata,16,43099,8,2026-02-04,2026-09-10
C0150,Diya Mehta,Kolkata,4,9550,147,2025-11-26,2026-04-24
C0151,Sahana Sharma,Kochi,6,16748,139,2025-12-10,2026-05-02
C0152,Akash Rao,Ahmedabad,4,27274,113,2026-02-28,2026-05-28
C0153,Aryan Sharma,Bengaluru,3,6902,11,2026-04-10,2026-09-07
C0154,Sneha Kumar,Kolkata,3,14622,14,2026-01-05,2026-09-04
C0155,Arjun Das,Ahmedabad,1,3091,2,2025-08-29,2026-09-16
C0156,Meera Singh,Ahmedabad,2,10942,11,2025-08-22,2026-09-07
C0157,Meera Joshi,Pune,12,47439,2,2025-12-28,2026-09-16
C0158,Akash Rao,Hyderabad,1,5691,1,2026-07-24,2026-09-17
C0159,Kavya Singh,Delhi,3,8248,131,2025-12-25,2026-05-10
C0160,Tanvi Singh,Hyderabad,2,14764,5,2026-03-26,2026-09-13
C0161,Aryan Kumar,Jaipur,5,18602,22,2026-07-15,2026-08-27
C0162,Aryan Sharma,Pune,3,25295,102,2026-05-01,2026-06-08
C0163,Aditi Reddy,Bengaluru,7,32238,4,2026-07-14,2026-09-14
C0164,Sahana Verma,Pune,1,1693,15,2025-11-20,2026-09-03
C0165,Anika Mehta,Bengaluru,1,5071,10,2025-12-18,2026-09-08
C0166,Aarav Sharma,Ahmedabad,5,9537,123,2025-04-19,2026-05-18
C0167,Riya Patel,Mumbai,2,6076,13,2026-03-19,2026-09-05
C0168,Varsha Rao,Kochi,1,3463,13,2025-10-05,2026-09-05
C0169,Shreya Reddy,Ahmedabad,1,4324,4,2025-08-21,2026-09-14
C0170,Arjun Das,Jaipur,1,2561,14,2025-12-17,2026-09-04
C0171,Anika Gupta,Pune,5,19631,73,2025-12-29,2026-07-07
C0172,Pooja Nair,Chennai,2,12770,9,2026-06-25,2026-09-09
C0173,Akash Patel,Kolkata,6,19263,18,2026-07-02,2026-08-31
C0174,Tanvi Joshi,Jaipur,2,11730,27,2025-08-17,2026-08-22
C0175,Pooja Das,Bengaluru,6,16238,106,2026-03-13,2026-06-04
C0176,Tanvi Joshi,Hyderabad,7,22348,28,2026-05-28,2026-08-21
C0177,Meera Das,Jaipur,3,14406,19,2025-12-24,2026-08-30
C0178,Sneha Shah,Kochi,1,5360,1,2025-10-11,2026-09-17
C0179,Diya Sharma,Delhi,6,26135,12,2026-08-04,2026-09-06
C0180,Aditi Das,Delhi,1,4083,3,2026-06-05,2026-09-15
C0181,Aarav Patel,Jaipur,7,29865,11,2026-05-20,2026-09-07
C0182,Meera Reddy,Pune,1,5449,20,2026-06-17,2026-08-29
C0183,Aditya Kumar,Delhi,1,1207,22,2026-06-17,2026-08-27
C0184,Diya Verma,Kolkata,3,11785,22,2026-04-09,2026-08-27
C0185,Shreya Patel,Pune,3,14717,36,2025-10-18,2026-08-13
C0186,Isha Sharma,Hyderabad,2,5125,18,2026-02-28,2026-08-31
C0187,Ananya Shah,Delhi,1,3171,11,2026-06-08,2026-09-07
C0188,Aarav Verma,Kolkata,7,32451,23,2026-04-01,2026-08-26
C0189,Shreya Joshi,Pune,8,63588,1,2025-12-26,2026-09-17
C0190,Akash Das,Pune,1,5497,13,2025-08-08,2026-09-05
C0191,Pooja Reddy,Mumbai,3,7815,44,2025-11-13,2026-08-05
C0192,Meera Patel,Kolkata,3,20276,136,2025-09-12,2026-05-05
C0193,Shreya Patel,Kolkata,4,13260,103,2026-02-11,2026-06-07
C0194,Akash Joshi,Mumbai,1,2388,29,2026-01-24,2026-08-20
C0195,Meera Iyer,Delhi,5,23387,7,2026-05-16,2026-09-11
C0196,Varsha Kumar,Mumbai,7,30202,25,2025-10-10,2026-08-24
C0197,Tanvi Verma,Kochi,1,5916,11,2025-09-21,2026-09-07
C0198,Kavya Kumar,Ahmedabad,15,76378,5,2026-03-27,2026-09-13
C0199,Tanvi Sharma,Pune,1,3342,15,2025-12-16,2026-09-03
C0200,Aditya Sharma,Pune,2,27124,72,2025-07-29,2026-07-08
C0201,Varsha Joshi,Kolkata,2,12368,41,2025-08-10,2026-08-08
C0202,Ananya Nair,Kochi,2,6013,33,2026-05-26,2026-08-16
C0203,Kavya Iyer,Mumbai,1,2213,2,2026-04-13,2026-09-16
C0204,Riya Verma,Jaipur,1,2100,12,2026-01-29,2026-09-06
C0205,Isha Gupta,Kolkata,1,5697,2,2025-09-28,2026-09-16
C0206,Kavya Patel,Pune,7,24310,9,2025-08-05,2026-09-09
C0207,Varsha Das,Delhi,2,10731,24,2025-08-25,2026-08-25
C0208,Neha Kumar,Kochi,1,1494,10,2025-10-27,2026-09-08
C0209,Neha Rao,Pune,6,9062,143,2025-04-20,2026-04-28
C0210,Pooja Joshi,Pune,12,46813,4,2026-02-22,2026-09-14
C0211,Sahana Singh,Hyderabad,3,8528,98,2026-03-23,2026-06-12
C0212,Shreya Shah,Jaipur,6,7236,145,2025-10-06,2026-04-26
C0213,Varsha Kumar,Kochi,2,7962,44,2026-04-13,2026-08-05
C0214,Riya Sharma,Kolkata,2,12277,44,2026-02-11,2026-08-05
C0215,Riya Singh,Jaipur,7,21357,12,2025-08-25,2026-09-06
C0216,Tanvi Verma,Ahmedabad,1,3928,17,2025-11-05,2026-09-01
C0217,Pooja Kumar,Hyderabad,3,14192,67,2025-07-20,2026-07-13
C0218,Sahana Das,Pune,1,1640,23,2025-11-05,2026-08-26
C0219,Arjun Reddy,Mumbai,1,3034,15,2025-11-15,2026-09-03
C0220,Aryan Das,Kolkata,5,29782,29,2026-01-24,2026-08-20
C0221,Aarav Gupta,Bengaluru,3,8862,29,2026-06-10,2026-08-20
C0222,Meera Singh,Bengaluru,2,15648,26,2026-05-11,2026-08-23
C0223,Aryan Sharma,Chennai,5,10547,121,2025-09-03,2026-05-20
C0224,Varsha Sharma,Mumbai,11,89720,3,2025-11-09,2026-09-15
C0225,Varsha Joshi,Kolkata,6,22786,10,2026-06-08,2026-09-08
C0226,Aditya Singh,Kolkata,1,5902,15,2026-07-03,2026-09-03
C0227,Arjun Das,Ahmedabad,1,934,21,2025-11-08,2026-08-28
C0228,Tanvi Singh,Delhi,4,26561,8,2025-10-23,2026-09-10
C0229,Pooja Kumar,Mumbai,1,3754,3,2025-11-20,2026-09-15
C0230,Sneha Joshi,Jaipur,1,3998,28,2025-11-24,2026-08-21
C0231,Aditya Rao,Kolkata,4,6532,106,2026-04-01,2026-06-04
C0232,Meera Singh,Mumbai,1,3523,5,2026-07-23,2026-09-13
C0233,Meera Joshi,Pune,3,21224,150,2025-07-20,2026-04-21
C0234,Aditi Shah,Delhi,15,37423,5,2026-05-03,2026-09-13
C0235,Aditya Shah,Hyderabad,4,16160,126,2025-09-24,2026-05-15
C0236,Sneha Verma,Chennai,18,47524,5,2026-02-13,2026-09-13
C0237,Aditya Das,Pune,6,29318,29,2025-12-29,2026-08-20
C0238,Riya Bhat,Kolkata,2,13129,36,2026-01-07,2026-08-13
C0239,Shreya Reddy,Mumbai,1,1446,14,2025-10-01,2026-09-04
C0240,Aditi Joshi,Chennai,2,10372,23,2026-02-21,2026-08-26
C0241,Riya Mehta,Kolkata,7,26519,15,2026-07-14,2026-09-03
C0242,Meera Mehta,Kolkata,4,17458,22,2025-09-05,2026-08-27
C0243,Neha Nair,Jaipur,3,7020,79,2025-07-25,2026-07-01
C0244,Riya Sharma,Delhi,18,59007,6,2026-01-29,2026-09-12
C0245,Tanvi Sharma,Kochi,7,27155,12,2025-12-23,2026-09-06
C0246,Akash Mehta,Delhi,1,4060,11,2025-09-10,2026-09-07
C0247,Diya Singh,Mumbai,10,67705,9,2026-01-24,2026-09-09
C0248,Sneha Patel,Chennai,1,4455,7,2025-10-03,2026-09-11
C0249,Isha Iyer,Ahmedabad,5,17426,15,2026-05-08,2026-09-03
C0250,Riya Patel,Pune,1,1331,18,2025-10-28,2026-08-31
C0251,Isha Bhat,Chennai,3,17845,126,2025-12-22,2026-05-15
C0252,Arjun Singh,Delhi,7,15861,12,2025-10-28,2026-09-06
C0253,Tanvi Nair,Ahmedabad,6,10252,139,2026-02-17,2026-05-02
C0254,Akash Reddy,Kolkata,5,23225,113,2025-10-01,2026-05-28
C0255,Tanvi Patel,Delhi,2,20744,120,2025-05-08,2026-05-21
C0256,Shreya Nair,Delhi,6,26964,136,2026-01-02,2026-05-05
C0257,Aryan Gupta,Jaipur,2,10068,127,2026-01-26,2026-05-14
C0258,Isha Kumar,Delhi,2,10669,38,2026-02-17,2026-08-11
C0259,Akash Reddy,Hyderabad,1,5312,9,2026-06-07,2026-09-09
C0260,Isha Mehta,Jaipur,5,34392,19,2026-05-14,2026-08-30
C0261,Aditi Rao,Kochi,1,5757,11,2025-10-24,2026-09-07
C0262,Aditya Das,Bengaluru,8,23672,21,2026-04-13,2026-08-28
C0263,Tanvi Gupta,Kochi,1,4879,29,2025-09-03,2026-08-20
C0264,Sneha Reddy,Chennai,3,9873,34,2026-06-09,2026-08-15
C0265,Aditya Kumar,Ahmedabad,3,8342,26,2025-09-17,2026-08-23
C0266,Aryan Nair,Pune,1,3629,13,2026-06-01,2026-09-05
C0267,Meera Joshi,Jaipur,5,30285,4,2026-04-01,2026-09-14
C0268,Riya Singh,Delhi,6,27587,28,2025-09-10,2026-08-21
C0269,Pooja Singh,Delhi,6,16247,85,2026-03-06,2026-06-25
C0270,Sahana Joshi,Ahmedabad,3,13148,6,2026-06-28,2026-09-12
C0271,Neha Joshi,Ahmedabad,3,25115,106,2026-04-11,2026-06-04
C0272,Aditya Reddy,Ahmedabad,1,4655,10,2025-11-08,2026-09-08
C0273,Aarav Das,Mumbai,3,10992,30,2026-01-14,2026-08-19
C0274,Aditya Gupta,Bengaluru,1,2394,12,2025-10-28,2026-09-06
C0275,Isha Patel,Kolkata,1,5304,9,2025-09-25,2026-09-09
C0276,Varsha Patel,Delhi,5,18228,104,2025-07-26,2026-06-06
C0277,Meera Shah,Delhi,8,28152,17,2026-07-13,2026-09-01
C0278,Aditya Sharma,Delhi,1,4680,17,2025-12-12,2026-09-01
C0279,Aryan Mehta,Jaipur,8,25437,6,2026-01-24,2026-09-12
C0280,Varsha Iyer,Chennai,1,4955,27,2025-11-05,2026-08-22
C0281,Sneha Verma,Kochi,4,27070,11,2025-08-29,2026-09-07
C0282,Arjun Gupta,Kochi,2,14779,35,2026-03-02,2026-08-14
C0283,Tanvi Mehta,Hyderabad,1,5580,16,2026-05-08,2026-09-02
C0284,Shreya Rao,Kochi,1,3914,5,2025-08-31,2026-09-13
C0285,Anika Sharma,Kochi,2,12251,63,2025-11-04,2026-07-17
C0286,Kavya Gupta,Delhi,2,11723,37,2025-09-03,2026-08-12
C0287,Sahana Das,Bengaluru,1,5049,7,2025-10-29,2026-09-11
C0288,Kavya Rao,Ahmedabad,1,3370,6,2025-12-21,2026-09-12
C0289,Sneha Nair,Jaipur,3,14995,35,2026-04-08,2026-08-14
C0290,Anika Reddy,Jaipur,6,24470,23,2026-04-12,2026-08-26
C0291,Sahana Nair,Ahmedabad,3,9715,12,2025-10-18,2026-09-06
C0292,Sneha Gupta,Kolkata,3,15517,66,2026-01-18,2026-07-14
C0293,Akash Nair,Ahmedabad,1,4724,7,2026-05-01,2026-09-11
C0294,Sneha Reddy,Jaipur,1,1924,4,2025-10-04,2026-09-14
C0295,Tanvi Singh,Hyderabad,16,49789,11,2026-04-11,2026-09-07
C0296,Aditya Patel,Kolkata,3,6647,13,2026-08-04,2026-09-05
C0297,Sneha Bhat,Delhi,3,12822,17,2026-03-08,2026-09-01
C0298,Kavya Reddy,Bengaluru,2,27374,134,2025-12-10,2026-05-07
C0299,Sneha Iyer,Bengaluru,3,19693,83,2026-05-10,2026-06-27
C0300,Neha Shah,Ahmedabad,6,16227,1,2026-03-19,2026-09-17
C0301,Tanvi Mehta,Mumbai,4,15324,119,2025-05-29,2026-05-22
C0302,Sneha Joshi,Ahmedabad,3,22522,120,2025-12-03,2026-05-21
C0303,Ananya Shah,Mumbai,3,15621,21,2025-07-27,2026-08-28
C0304,Aditi Sharma,Pune,6,12329,83,2025-07-20,2026-06-27
C0305,Neha Das,Kolkata,1,1510,13,2025-08-29,2026-09-05
C0306,Arjun Kumar,Delhi,2,5111,21,2026-01-14,2026-08-28
C0307,Anika Verma,Chennai,4,25086,134,2026-04-02,2026-05-07
C0308,Diya Rao,Pune,1,1308,22,2026-05-29,2026-08-27
C0309,Riya Reddy,Delhi,3,6923,45,2026-02-04,2026-08-04
C0310,Meera Mehta,Hyderabad,5,30669,5,2025-12-25,2026-09-13
C0311,Varsha Nair,Kolkata,1,4657,25,2025-10-23,2026-08-24
C0312,Ananya Shah,Hyderabad,1,5680,28,2026-06-11,2026-08-21
C0313,Shreya Verma,Jaipur,1,1439,30,2025-10-05,2026-08-19
C0314,Arjun Sharma,Jaipur,3,24766,129,2026-01-26,2026-05-12
C0315,Aditi Nair,Jaipur,2,14554,36,2026-05-29,2026-08-13
C0316,Shreya Verma,Bengaluru,3,12484,41,2026-06-10,2026-08-08
C0317,Sneha Verma,Chennai,1,4043,9,2026-08-09,2026-09-09
C0318,Ananya Mehta,Mumbai,13,80900,2,2025-11-13,2026-09-16
C0319,Aditya Bhat,Mumbai,5,7039,97,2025-10-17,2026-06-13
C0320,Aditi Shah,Delhi,1,4243,12,2026-01-24,2026-09-06
C0321,Riya Das,Kolkata,2,15707,27,2026-05-24,2026-08-22
C0322,Aditi Joshi,Kolkata,1,2624,27,2026-07-22,2026-08-22
C0323,Aarav Reddy,Ahmedabad,1,5260,14,2025-11-06,2026-09-04
C0324,Neha Das,Hyderabad,6,20083,9,2026-05-06,2026-09-09
C0325,Arjun Sharma,Kolkata,1,928,8,2026-04-28,2026-09-10
C0326,Akash Patel,Kochi,17,79041,12,2026-07-14,2026-09-06
C0327,Anika Iyer,Bengaluru,2,13843,18,2026-07-04,2026-08-31
C0328,Aryan Joshi,Chennai,8,25449,19,2025-09-28,2026-08-30
C0329,Kavya Singh,Chennai,6,13243,113,2025-11-26,2026-05-28
C0330,Diya Sharma,Jaipur,3,26512,147,2025-08-19,2026-04-24
C0331,Sneha Verma,Bengaluru,5,23185,101,2025-05-19,2026-06-09
C0332,Pooja Gupta,Delhi,5,32626,16,2026-04-02,2026-09-02
C0333,Anika Reddy,Delhi,2,24428,113,2025-09-27,2026-05-28
C0334,Sneha Joshi,Delhi,3,8331,26,2025-08-27,2026-08-23
C0335,Akash Bhat,Ahmedabad,2,23551,85,2026-04-30,2026-06-25
C0336,Diya Gupta,Kochi,1,1396,7,2025-10-16,2026-09-11
C0337,Sneha Singh,Ahmedabad,6,24934,30,2026-07-13,2026-08-19
C0338,Ananya Bhat,Hyderabad,2,21693,92,2025-05-28,2026-06-18
C0339,Varsha Iyer,Hyderabad,2,14045,25,2026-03-03,2026-08-24
C0340,Neha Verma,Jaipur,1,3326,9,2026-02-07,2026-09-09
C0341,Shreya Bhat,Ahmedabad,3,10246,18,2026-01-24,2026-08-31
C0342,Kavya Gupta,Bengaluru,1,2612,24,2026-05-13,2026-08-25
C0343,Aarav Reddy,Jaipur,6,19683,98,2026-02-24,2026-06-12
C0344,Ananya Nair,Hyderabad,2,13180,40,2025-08-09,2026-08-09
C0345,Kavya Reddy,Ahmedabad,5,21100,82,2025-11-30,2026-06-28
C0346,Aditi Kumar,Jaipur,2,13584,7,2026-07-05,2026-09-11
C0347,Aditya Shah,Bengaluru,2,6113,14,2026-08-01,2026-09-04
C0348,Ananya Joshi,Ahmedabad,3,15801,36,2026-07-06,2026-08-13
C0349,Aarav Joshi,Jaipur,2,13673,22,2025-10-27,2026-08-27
C0350,Isha Sharma,Jaipur,5,11874,74,2026-04-18,2026-07-06
C0351,Shreya Kumar,Hyderabad,8,23271,27,2026-01-23,2026-08-22
C0352,Diya Shah,Kolkata,14,65080,10,2026-04-07,2026-09-08
C0353,Anika Reddy,Mumbai,1,1059,3,2026-01-21,2026-09-15
C0354,Neha Gupta,Jaipur,2,7807,10,2025-11-27,2026-09-08
C0355,Pooja Rao,Pune,1,1581,29,2025-10-24,2026-08-20
C0356,Aditya Singh,Hyderabad,6,21581,95,2026-04-23,2026-06-15
